aktualizacja_bledy.txt, 0, SYM3, 2021.12.2, 14, Zaktualizowany,07/02/2022 22:41:58,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:48:56,
updatetest.txt, 0, AEX,20220208, 12, Zaktualizowany,09/02/2022 23:49:44,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:49:44,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:49:44,
updatetest.txt, 0, AEX,20220207, 121, Zaktualizowany,09/02/2022 23:50:19,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:50:19,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:50:19,
updatetest.txt, 0, AEX,20220206, 15, Nowy wiersz,09/02/2022 23:51:00,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:51:00,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:51:00,
updatetest.txt, 0, AEX,20220207, 151, Nowy wiersz,09/02/2022 23:51:52,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:51:52,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:51:52,
updatetest.txt, 0, AEX,20220208, 15, Nowy wiersz,09/02/2022 23:53:35,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:53:35,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:53:35,
updatetest.txt, 0, AEX,20220208, 113, Zaktualizowany,09/02/2022 23:54:00,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:54:00,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:54:00,
updatetest.txt, 0, AEX,20220208, 113, Zaktualizowany,09/02/2022 23:56:18,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:56:18,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:56:18,
updatetest.txt, 0, AEX,20220208, 1111, Zaktualizowany,09/02/2022 23:56:49,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:56:49,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:56:49,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,09/02/2022 23:59:37,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,09/02/2022 23:59:37,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,09/02/2022 23:59:37,
updatetest.txt, 0, AEX,20220208, 111, Zaktualizowany,10/02/2022 00:01:26,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:01:26,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:01:26,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 00:02:42,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:02:42,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:02:42,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:06:00,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:06:00,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:06:00,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:07:28,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:07:28,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:07:28,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:09:21,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:09:21,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:09:21,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:10:17,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:10:17,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:10:17,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:12:57,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:12:57,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:12:57,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:14:50,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:14:50,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:14:50,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:16:28,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:16:28,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:16:28,
updatetest.txt, 0, AEX,20220208, 112, Zaktualizowany,10/02/2022 00:17:39,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:17:39,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:17:39,
updatetest.txt, 0, AEX,20220208, 1, Zaktualizowany,10/02/2022 00:18:42,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:18:42,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:18:42,
updatetest.txt, 0, AEX,20220208, 12, Zaktualizowany,10/02/2022 00:20:45,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:20:45,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:20:45,
updatetest.txt, 0, AEX,20220208, 151, Zaktualizowany,10/02/2022 00:21:16,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:21:16,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:21:16,
updatetest.txt, 0, AEX,20220208, 15, Zaktualizowany,10/02/2022 00:21:36,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:21:36,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:21:36,
updatetest.txt, 0, AEX,20220208, 151, Zaktualizowany,10/02/2022 00:24:22,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:24:22,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:24:22,
updatetest.txt, 0, AEX,20220208, 151, Zaktualizowany,10/02/2022 00:25:05,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:25:05,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:25:05,
updatetest.txt, 0, AEX,20220208, 151, Zaktualizowany,10/02/2022 00:25:46,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:25:46,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:25:46,
updatetest.txt, 0, AEX,20220208, 15, Zaktualizowany,10/02/2022 00:26:18,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:26:18,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:26:18,
updatetest.txt, 0, AEX,20220208, 15111, Zaktualizowany,10/02/2022 00:28:55,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:28:55,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:28:55,
updatetest.txt, 0, AEX,20220208, 151, Zaktualizowany,10/02/2022 00:29:19,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:29:19,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:29:19,
updatetest.txt, 0, AEX,20220208, 152, Zaktualizowany,10/02/2022 00:31:36,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:31:36,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:31:36,
updatetest.txt, 0, AEX,20220208, 1521, Zaktualizowany,10/02/2022 00:32:43,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:32:43,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:32:43,
updatetest.txt, 0, AEX,20220208, 1521, Zaktualizowany,10/02/2022 00:33:55,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:33:55,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:33:55,
updatetest.txt, 0, AEX,20220208, 1521, Zaktualizowany,10/02/2022 00:34:28,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:34:28,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:34:28,
updatetest.txt, 0, AEX,20220208, 1521, Zaktualizowany,10/02/2022 00:35:41,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:35:41,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:35:41,
updatetest.txt, 0, AEX,20220208, 1521, Zaktualizowany,10/02/2022 00:36:43,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:36:43,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:36:43,
updatetest.txt, 0, AEX,20220208, 152, Zaktualizowany,10/02/2022 00:39:41,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:39:41,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:39:41,
updatetest.txt, 0, AEX,20220208, 15222, Zaktualizowany,10/02/2022 00:40:20,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:40:20,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:40:20,
updatetest.txt, 0, AEX,20220208, 152225, Zaktualizowany,10/02/2022 00:42:08,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 00:42:08,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 00:42:08,
updatetest.txt, 0, AEX,20220208, 1525, Pominiêty,10/02/2022 00:44:40,
updatetest.txt, 1, AOR,20220207, 334, Pominiêty,10/02/2022 00:44:40,
updatetest.txt, 2, ATH,20220207, 254, Pominiêty,10/02/2022 00:44:40,
updatetest.txt, 0, AEX,20220207, 15, Zaktualizowany,10/02/2022 01:05:34,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:05:34,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:05:34,
updatetest.txt, 0, AEX,20220207, 15, Zaktualizowany,10/02/2022 01:07:11,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:07:11,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:07:11,
updatetest.txt, 0, AEX,20220207, 15, Zaktualizowany,10/02/2022 01:07:55,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:07:55,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:07:55,
updatetest.txt, 0, AEX,20220207, 15, Pominiêty,10/02/2022 01:09:06,
updatetest.txt, 1, AOR,20220207, 334, Pominiêty,10/02/2022 01:09:06,
updatetest.txt, 2, ATH,20220207, 254, Pominiêty,10/02/2022 01:09:06,
updatetest.txt, 0, AEX,20220207, 15, Zaktualizowany,10/02/2022 01:10:16,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:10:16,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:10:16,
updatetest.txt, 0, AEX,20220207, 15, Zaktualizowany,10/02/2022 01:11:59,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:11:59,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:11:59,
updatetest.txt, 0, AEX,20220207, 15, Plik zosta³ utworzony,10/02/2022 01:12:44,
updatetest.txt, 1, AOR,20220207, 334, Plik zosta³ utworzony,10/02/2022 01:12:44,
updatetest.txt, 2, ATH,20220207, 254, Plik zosta³ utworzony,10/02/2022 01:12:44,
updatetest.txt, 0, AEX,20220207, 15, Plik zosta³ utworzony,10/02/2022 01:13:25,
updatetest.txt, 1, AOR,20220207, 334, Plik zosta³ utworzony,10/02/2022 01:13:25,
updatetest.txt, 2, ATH,20220207, 254, Plik zosta³ utworzony,10/02/2022 01:13:25,
updatetest.txt, 0, AEX,20220207, 15, Plik zosta³ utworzony,10/02/2022 01:14:45,
updatetest.txt, 1, AOR,20220207, 334, Plik zosta³ utworzony,10/02/2022 01:14:45,
updatetest.txt, 2, ATH,20220207, 254, Plik zosta³ utworzony,10/02/2022 01:14:45,
updatetest.txt, 0, AEX,20220207, 15, Plik zosta³ utworzony,10/02/2022 01:15:29,
updatetest.txt, 1, AOR,20220207, 334, Plik zosta³ utworzony,10/02/2022 01:15:29,
updatetest.txt, 2, ATH,20220207, 254, Plik zosta³ utworzony,10/02/2022 01:15:29,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:16:34,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:16:34,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:16:34,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:17:14,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:17:14,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:17:14,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:17:58,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:17:58,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:17:58,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:19:08,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:19:08,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:19:08,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:20:25,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:20:25,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:20:25,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:21:09,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:21:09,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:21:09,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:23:07,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:23:07,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:23:07,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:24:26,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:24:26,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:24:26,
updatetest.txt, 0, AEX,20220208, 11, Zaktualizowany,10/02/2022 01:25:33,
updatetest.txt, 1, AOR,20220207, 334, Zaktualizowany,10/02/2022 01:25:33,
updatetest.txt, 2, ATH,20220207, 254, Zaktualizowany,10/02/2022 01:25:33,
update2_1.txt, 0, AEX,20220208, 7511, Zaktualizowany,10/02/2022 01:53:51,
update2_1.txt, 1, AOR,20220207, 3331, Zaktualizowany,10/02/2022 01:53:51,
update2_1.txt, 2, ATH,20220207, 2311, Zaktualizowany,10/02/2022 01:53:51,
update2_1.txt, 0, AEX,20220208, 7511, Zaktualizowany,12/02/2022 13:44:46,
update2_1.txt, 1, AOR,20220207, 3331, Zaktualizowany,12/02/2022 13:44:46,
update2_1.txt, 2, ATH,20220207, 2311, Zaktualizowany,12/02/2022 13:44:46,
update2_1.txt, 0, AEX,20220208, 7511, Zaktualizowany,12/02/2022 13:50:51,
update2_1.txt, 1, AOR,20220207, 3331, Zaktualizowany,12/02/2022 13:50:51,
update2_1.txt, 2, ATH,20220207, 2311, Zaktualizowany,12/02/2022 13:50:51,
